stock,animal_name,animal_id,batch,birth date,sex,genotype,sex gen,date_of_experiment,experimenter,age weeks,parameter,data
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-02-18,nan,23,Weight,23
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-02-25,nan,24,Weight,23.18
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-03-17,nan,27,Weight,24.68
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-03-22,nan,27,Weight,24.86
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-03-29,nan,28,Weight,24.71
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-04-06,nan,28,Weight,24.65
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-04-12,nan,30,Weight,24.56
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-04-19,nan,31,Weight,24.37
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-04-25,nan,32,Weight,24.63
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-05-11,nan,34,Weight,24.53
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-05-18,nan,35,Weight,24.39
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-05-30,nan,36,Weight,25.54
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-06-14,nan,39,Weight,24.86
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-06-29,nan,42,Weight,26.19
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-07-13,nan,43,Weight,26.32
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-07-26,nan,46,Weight,26.92
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-08-10,nan,47,Weight,27.17
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-08-16,nan,48,Weight,27.06
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-08-30,nan,50,Weight,27.75
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-09-08,nan,52,Weight,27.67
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-09-13,nan,52,Weight,27.56
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-09-29,nan,55,Weight,28.73
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-10-05,nan,55,Weight,29.01
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-10-12,nan,56,Weight,28.97
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-10-27,nan,58,Weight,27.81
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-11-04,nan,60,Weight,27.56
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-11-16,nan,61,Weight,27.38
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-12-01,nan,64,Weight,28.1
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-12-07,nan,64,Weight,29.15
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-12-22,nan,66,Weight,28.77
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2022-12-30,nan,68,Weight,29.52
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2023-01-05,nan,69,Weight,30.58
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3a,7389244,C9ORF-Behav-1,2021-09-09,Female,,,2023-01-13,nan,70,Weight,30.3
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2021-10-06,nan,4,Weight,11.12
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2021-10-11,nan,4,Weight,14.13
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2021-11-01,nan,8,Weight,17.96
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2021-11-09,nan,8,Weight,18.48
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2021-11-15,nan,9,Weight,18.98
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2021-11-23,nan,10,Weight,21.22
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2021-12-10,nan,13,Weight,22.02
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2021-12-23,nan,16,Weight,22.45
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2021-12-31,nan,16,Weight,23.5
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-01-28,nan,20,Weight,24.29
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-02-10,nan,22,Weight,24.42
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-02-18,nan,23,Weight,24.33
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-02-25,nan,24,Weight,24.45
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-03-17,nan,27,Weight,24.58
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-03-22,nan,27,Weight,24.74
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-03-29,nan,28,Weight,24.65
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-04-06,nan,28,Weight,25.09
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-04-12,nan,30,Weight,25.88
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-04-19,nan,31,Weight,24.81
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-04-25,nan,32,Weight,25.28
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-05-11,nan,34,Weight,25.55
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-05-18,nan,35,Weight,25.98
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-05-30,nan,36,Weight,26.56
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-06-14,nan,39,Weight,27.07
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-06-29,nan,42,Weight,26.25
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-07-13,nan,43,Weight,28.88
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-07-26,nan,46,Weight,28.36
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-08-10,nan,47,Weight,28.57
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-08-16,nan,48,Weight,28.37
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-08-30,nan,50,Weight,28.88
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-09-08,nan,52,Weight,28.6
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-09-13,nan,52,Weight,29.27
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-09-29,nan,55,Weight,28.52
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-10-05,nan,55,Weight,30.4
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-10-12,nan,56,Weight,30.33
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-10-27,nan,58,Weight,31.08
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-11-04,nan,60,Weight,31.12
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-11-16,nan,61,Weight,32.2
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-12-01,nan,64,Weight,31.32
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-12-07,nan,64,Weight,31.8
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-12-22,nan,66,Weight,31.12
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2022-12-30,nan,68,Weight,33.54
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2023-01-05,nan,69,Weight,33.27
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3c,7389246,C9ORF-Behav-1,2021-09-09,Female,,,2023-01-13,nan,70,Weight,32.61
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2021-10-06,nan,4,Weight,11.14
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2021-10-11,nan,4,Weight,16.12
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2021-11-01,nan,8,Weight,24.36
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2021-11-09,nan,8,Weight,25.24
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2021-11-15,nan,9,Weight,26.43
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2021-11-23,nan,10,Weight,27.23
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2021-12-10,nan,13,Weight,28.88
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2021-12-23,nan,16,Weight,29.04
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2021-12-31,nan,16,Weight,29.58
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-01-28,nan,20,Weight,30.88
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-02-10,nan,22,Weight,30.48
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-02-18,nan,23,Weight,30.57
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-02-25,nan,24,Weight,30.55
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-03-17,nan,27,Weight,32.36
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-03-22,nan,27,Weight,32.18
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-03-29,nan,28,Weight,33.38
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-04-06,nan,28,Weight,32.51
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-04-12,nan,30,Weight,32.88
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-04-19,nan,31,Weight,33.02
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-04-25,nan,32,Weight,32.8
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-05-11,nan,34,Weight,33.92
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-05-18,nan,35,Weight,33.86
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-05-30,nan,36,Weight,34.9
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-06-14,nan,39,Weight,35.46
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-06-29,nan,42,Weight,35.15
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-07-13,nan,43,Weight,35.86
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-07-26,nan,46,Weight,35.29
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-08-10,nan,47,Weight,36.12
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-08-16,nan,48,Weight,36.69
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-08-30,nan,50,Weight,37.66
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-09-08,nan,52,Weight,36.44
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-09-13,nan,52,Weight,37.21
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-09-29,nan,55,Weight,37.88
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-10-05,nan,55,Weight,37.92
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-10-12,nan,56,Weight,37.81
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-10-27,nan,58,Weight,38.09
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-11-04,nan,60,Weight,38.02
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-11-16,nan,61,Weight,37.33
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-12-01,nan,64,Weight,37.47
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-12-22,nan,66,Weight,36.86
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-12-30,nan,68,Weight,37.4
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2023-01-05,nan,69,Weight,37.48
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2023-01-13,nan,70,Weight,37.75
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-01-14,nan,18,Weight,29.62
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3i,7389252,C9ORF-Behav-1,2021-09-09,Male,,,2022-12-08,nan,65,Weight,37.68
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2021-10-06,nan,4,Weight,9.89
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2021-10-11,nan,4,Weight,16.15
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2021-11-01,nan,8,Weight,25.19
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2021-11-09,nan,8,Weight,26.89
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2021-11-15,nan,9,Weight,28.53
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2021-11-23,nan,10,Weight,29.35
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2021-12-10,nan,13,Weight,32.06
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2021-12-23,nan,16,Weight,32.01
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2021-12-31,nan,16,Weight,32.24
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2022-01-28,nan,20,Weight,32.82
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2022-02-10,nan,22,Weight,33.38
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2022-02-18,nan,23,Weight,33.22
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2022-02-25,nan,24,Weight,32.9
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2022-03-17,nan,27,Weight,32.98
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2022-03-22,nan,27,Weight,33.69
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2022-03-29,nan,28,Weight,33.78
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2022-04-06,nan,28,Weight,33.09
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2022-04-12,nan,30,Weight,34.36
C9ORF72-GR400-MAT-B6J,C9ORF72-GR400-MAT-B6J/1.3k,7389254,C9ORF-Behav-1,2021-09-09,Male,,,2022-04-19,nan,31,Weight,33.68
